title,type,netflix_original
Tidelands,TV Show,True
The Order,TV Show,True
Black Summer,TV Show,True
Chambers,TV Show,True
The Society,TV Show,True
What/If,TV Show,True
When They See Us,TV Show,True
Armistead Maupin's Tales of the City,TV Show,True
Trinkets,TV Show,True
Another Life,TV Show,True
Wu Assassins,TV Show,True
The I-Land,TV Show,True
Unbelievable,TV Show,True
Criminal: UK,TV Show,True
V Wars,TV Show,True
Soundtrack,TV Show,True
Messiah,TV Show,True
Spinning Out,TV Show,True
October Faction,TV Show,True
The Stranger,TV Show,True
Locke & Key,TV Show,True
Queen Sono,TV Show,True
Self Made: Inspired by the Life of Madam C. J. Walker,TV Show,True
The English Game,TV Show,True
Unorthodox,TV Show,True
Hollywood,TV Show,True
The Eddy,TV Show,True
White Lines,TV Show,True
Homemade,TV Show,True
Warrior Nun,TV Show,True
Cursed,TV Show,True
Young Wallander,TV Show,True
Away,TV Show,True
The Haunting of Bly Manor,TV Show,True
Social Distance,TV Show,True
Grand Army,TV Show,True
The Queen's Gambit,TV Show,True
Dash & Lily,TV Show,True
Kings of Jo'Burg,TV Show,True
Tiny Pretty Things,TV Show,True
Fate: The Winx Saga,TV Show,True
Firefly Lane,TV Show,True
Behind Her Eyes,TV Show,True
The One,TV Show,True
The Irregulars,TV Show,True
Shadow and Bone,TV Show,True
Jupiter's Legacy,TV Show,True
Halston,TV Show,True
Jiva!,TV Show,True
Sex/Life,TV Show,True
Hit & Run,TV Show,True
Brand New Cherry Flavor,TV Show,True
Clickbait,TV Show,True
King of Boys: The Return of the King,TV Show,True
Midnight Mass,TV Show,True
Maid,TV Show,True
Colin in Black & White,TV Show,True
Cowboy Bebop,TV Show,True
True Story,TV Show,True
Stay Close,TV Show,True
Archive 81,TV Show,True
In From the Cold,TV Show,True
Inventing Anna,TV Show,True
Pieces of Her,TV Show,True
Anatomy of a Scandal,TV Show,True
Blood Sisters,TV Show,True
First Kill,TV Show,True
Resident Evil,TV Show,True
Country Queen,TV Show,True
Keep Breathing,TV Show,True
Justice Served,TV Show,True
Echoes,TV Show,True
Lost Ollie,TV Show,True
Partner Track,TV Show,True
Devil in Ohio,TV Show,True
The Imperfects,TV Show,True
Dahmer – Monster: The Jeffrey Dahmer Story,TV Show,True
The Midnight Club,TV Show,True
From Scratch,TV Show,True
Guillermo del Toro's Cabinet of Curiosities,TV Show,True
The Bastard Son & The Devil Himself,TV Show,True
1899,TV Show,True
Far from Home,TV Show,True
The Witcher: Blood Origin,TV Show,True
Treason,TV Show,True
Kaleidoscope,TV Show,True
Shanty Town,TV Show,True
Lockwood & Co.,TV Show,True
Transatlantic,TV Show,True
Florida Man,TV Show,True
Obsession,TV Show,True
Queen Charlotte: A Bridgerton Story,TV Show,True
Glamorous,TV Show,True
Painkiller,TV Show,True
Who Is Erin Carter?,TV Show,True
The Fall of the House of Usher,TV Show,True
Bodies,TV Show,True
All the Light We Cannot See,TV Show,True
Unbreakable Kimmy Schmidt,TV Show,True
Grace and Frankie,TV Show,True
